video_id,time,author,text
D-LSi_fUaK0,2 tygodnie temu,@Lokharn5,Ma rację akurat. Braun jest jak Korwin. Nie gryzie się w język i idzie tę samą drogą 3-4% Żeby zdobyć duże poparcie trzeba przekonać do siebie ludzi o poglądach centrowych. Inaczej nie ma szans na sukces w jakichkolwiek wyborach
2K0MIRUzPwI,17 godzin temu,@art_i_stt,"głosujemy na Mentzena, bo tylko on może uratować Polskę i powstrzymać kłamliwy duopol władzy."
VaC3mfIZ5pQ,2 tygodnie temu,@SnikiTWH,"Brawo Mentzen, masz mój głos 💪"
Q3mCysi5iWQ,4 tygodnie temu,@dindallmatthew,The way you explained this is SO clear. Thank you
TJkV6bxiw9g,5 dni temu,@mops3187,Tylko o Grzegorzu Braunie śpiewają pieśni
D-LSi_fUaK0,2 tygodnie temu,@tomaszplata9541,"Tak tak, pierdu pierdu,.... Braun nr 1. To FAKT."
47eU0lRd4UI,4 tygodnie temu,@ewadr3000,​ @Domino1x Pan Maciej Maciak jest propolski
H73KlhOd4hI,2 tygodnie temu,@starchild4755,"Problem Mentzena jest taki ze on rozumie świat tak jak chce, a nie tak jak wygląda. ;-))"
Q3mCysi5iWQ,1 miesiąc temu,@michallukasiewicz5475,"​ @annahappypuppydoggroomer4230 Niestety hasło ""Ziobry nie ruszamy"" można spokojnie zamienic na Nawrockiego nie ruszamy a film niby prowokacyjny z tym hasłem wysłany do Pana Stonogi okazał się być odwróceniem uwagi od faktycznych pogladow K. Stanowskiego"
af28AVRIyv4,1 miesiąc temu,@pppppp2395,Ogladalam te debate i czulam sie jak w przedszkolu ...tak nie zachowuja sie dorosli ludzie a.juz na pewno nie kandydaci na prezydenta ...zadnego szcunku i poszanowania jeden dla drugiego ...z kogo ja mam brac przyklad ...ja nie chce zeby moje panstwo reprezentowala jakakolwiek osoba ktora pluje jadem na druga osobe ...czyli jesli pluje na przeciwnika czyli nieakceptuje pogladow innej osoby ... czyli nie ma szacunku rowniez do zwyklego smiertelnika polaka ....dziekuje
P1VIeoKuv3k,1 dzień temu,@Tomix-PL,"Po co to oglądać, przecież wiadomo ze tvp powie że wygrał Trzaskowski. Nie po to go od kilku miesięcy przerywają ważne programy by np pokazać jak Rafał jest na polu wiatraków by teraz być chodź trochę obiektywnym i powiedzieć cokolwiek złego na swojego człowieka."
bls2mr3zatc,1 miesiąc temu,@jasnepene6652,Dobrze wiemy czym Stanowski pachnie- popisem!!!
P9i0WWOhVRg,11 dni temu,@JG-zu4yp,"6,43
O Jezu! Numer roku!"
KiTg4fAf_zQ,1 miesiąc temu,@Rafałtęczowski300-x5u,"Ewidentnie widać, że Rafał Tęczowowski nie nadaje się na prezydenta."
